"","Fold Change","log2(FC)"
"TG-50-2",7.8327,2.9695
"TG-52-4",7.7779,2.9594
"PA-34-0",4.3018,2.1049
"plasmenyl-PE-36-2",0.25421,-1.9759
"PS-36-1",3.3834,1.7585
"TG-54-1",3.1275,1.645
"TG-62-4",2.9163,1.5442
"TG-58-9",2.8733,1.5227
"PC-44-12",0.39049,-1.3566
"lysoPC-20-1",0.39436,-1.3424
"DG-32-0",2.4305,1.2813
"TG-54-7",2.3305,1.2206
"lysoPC-18-1",0.43616,-1.1971
"plasmenyl-PE-32-1",0.43639,-1.1963
"DG-34-0",2.2577,1.1748
"PS-36-4",2.2486,1.1691
"TG-54-5",2.2129,1.146
"plasmenyl-PE-34-1",0.4567,-1.1307
"lysoPE-20-1",0.46536,-1.1036
"PS-38-6",2.1474,1.1026
"PC-36-4",2.1463,1.1019
"CL-66-3",0.47094,-1.0864
"DG-42-2",0.48453,-1.0453
"PC-34-4",0.49324,-1.0197
"PS-42-1",2.0268,1.0192
"plasmenyl-PC-24-0",0.49622,-1.011
"SM-32-1",0.49707,-1.0085
"DG-38-3",0.50094,-0.99729
"DG-40-1",0.50537,-0.98459
"TG-56-9",1.9697,0.97801
"PC-32-1",0.5086,-0.97539
"PC-34-1",0.51109,-0.96836
"DG-36-2",1.9416,0.95725
"lysoPC-26-1",0.51521,-0.95676
"lysoPC-16-0",0.51692,-0.95199
"lysoPE-14-0",0.51841,-0.94783
"plasmenyl-PE-40-1",0.52404,-0.93226
"CL-78-9",0.52652,-0.92544
"CL-74-9",0.52837,-0.92038
"CL-68-2",1.8445,0.88323
"DG-44-2",0.54394,-0.87848
"lysoPC-22-1",0.5466,-0.87144
"PC-28-0",0.55156,-0.8584
"lysoPE-16-0",0.55608,-0.84665
"TG-46-1",0.56058,-0.835
"plasmenyl-PE-40-2",0.56296,-0.82889
"PE-36-5",0.57806,-0.79071
"lysoPE-20-3",0.58008,-0.78567
"DG-38-0",1.701,0.76642
"PE-32-2",0.59428,-0.75079
"lysoPE-18-1",0.5943,-0.75074
"TG-58-6",1.6727,0.74221
"TG-50-3",0.60044,-0.73592
"TG-60-2",1.6631,0.73391
"lysoPC-24-0",0.6036,-0.72834
"PS-36-3",1.6564,0.72803
"CL-78-3",0.60744,-0.7192
"PA-20-2",1.6428,0.7162
"SM-42-1",1.6422,0.71563
"PS-44-3",1.6368,0.71084
"TG-62-3",1.6309,0.70563
"DG-40-2",0.61318,-0.70561
"PI-40-6",1.6215,0.69736
"PC-38-8",1.6213,0.69719
"PG-38-3",1.6172,0.69352
"TG-48-0",0.61945,-0.69095
"PC-46-4",0.61963,-0.69052
"lysoPC-20-3",0.62328,-0.68205
"CL-70-5",0.62519,-0.67764
"PC-42-7",0.62798,-0.6712
"PA-40-6",0.63062,-0.66516
"PE-38-5",0.63355,-0.65846
"SM-30-1",0.63617,-0.65252
"DG-38-4",0.63666,-0.65141
"PE-44-3",1.5694,0.65024
"DG-44-1",0.6382,-0.64793
"DG-40-0",1.5588,0.6404
"TG-58-3",1.5532,0.63526
"DG-40-4",0.65166,-0.61782
"PC-36-1",1.5341,0.61739
"PS-42-2",1.532,0.61541
"PC-30-1",0.65362,-0.61347
"PE-34-2",0.65479,-0.61089
"DG-38-7",1.5217,0.60568
"DG-42-3",1.5206,0.6046
"PC-46-1",1.5183,0.60247
"TG-42-0",1.5151,0.59944
"TG-58-8",1.5148,0.59917
"SM-42-2",1.509,0.59359
